song_name	word	album	n
1000 Doves	arms	Chromatica	3
1000 Doves	baby	Chromatica	1
1000 Doves	bleeding	Chromatica	1
1000 Doves	broken	Chromatica	3
1000 Doves	cage	Chromatica	1
1000 Doves	catch	Chromatica	3
1000 Doves	completely	Chromatica	1
1000 Doves	cry	Chromatica	1
1000 Doves	day	Chromatica	1
1000 Doves	doves	Chromatica	11
1000 Doves	fall	Chromatica	3
1000 Doves	falling	Chromatica	2
1000 Doves	flying	Chromatica	18
1000 Doves	free	Chromatica	2
1000 Doves	game	Chromatica	1
1000 Doves	hard	Chromatica	1
1000 Doves	heart's	Chromatica	1
1000 Doves	human	Chromatica	1
1000 Doves	hurting	Chromatica	1
1000 Doves	inside	Chromatica	2
1000 Doves	invisibly	Chromatica	1
1000 Doves	judge	Chromatica	1
1000 Doves	leave	Chromatica	2
1000 Doves	life	Chromatica	1
1000 Doves	lift	Chromatica	6
1000 Doves	listen	Chromatica	2
1000 Doves	lonely	Chromatica	1
1000 Doves	love	Chromatica	2
1000 Doves	nudge	Chromatica	3
1000 Doves	oves	Chromatica	6
1000 Doves	perfect	Chromatica	1
1000 Doves	rage	Chromatica	1
1000 Doves	save	Chromatica	1
1000 Doves	set	Chromatica	2
1000 Doves	shaking	Chromatica	1
1000 Doves	smile	Chromatica	1
1000 Doves	start	Chromatica	3
1000 Doves	stuck	Chromatica	1
1000 Doves	stupid	Chromatica	1
1000 Doves	tears	Chromatica	2
1000 Doves	thousand	Chromatica	12
1000 Doves	time	Chromatica	1
1000 Doves	waiting's	Chromatica	1
911	911	Chromatica	12
911	beautiful	Chromatica	1
911	biggest	Chromatica	9
911	biological	Chromatica	1
911	boxes	Chromatica	1
911	built	Chromatica	1
911	choice	Chromatica	1
911	cry	Chromatica	12
911	day	Chromatica	3
911	diamond	Chromatica	1
911	dolls	Chromatica	1
911	drop	Chromatica	1
911	em	Chromatica	1
911	emotional	Chromatica	1
911	enemy	Chromatica	9
911	faders	Chromatica	1
911	friendships	Chromatica	1
911	front	Chromatica	1
911	gon	Chromatica	1
911	grab	Chromatica	1
911	hands	Chromatica	2
911	hating	Chromatica	1
911	heard	Chromatica	1
911	holdin	Chromatica	1
911	inside	Chromatica	1
911	laughed	Chromatica	1
911	life	Chromatica	1
911	line	Chromatica	6
911	manic	Chromatica	1
911	mood's	Chromatica	1
911	oasis	Chromatica	1
911	ooh	Chromatica	8
911	paradise	Chromatica	2
911	patch	Chromatica	6
911	phrases	Chromatica	1
911	pop	Chromatica	16
911	real	Chromatica	1
911	repeating	Chromatica	1
911	save	Chromatica	1
911	shifting	Chromatica	1
911	stasis	Chromatica	1
911	status	Chromatica	1
911	tight	Chromatica	1
911	til	Chromatica	1
911	turnin	Chromatica	1
911	voices	Chromatica	1
911	watch	Chromatica	1
A-YO	aaaa	Joanne	1
A-YO	baby	Joanne	1
A-YO	blaze	Joanne	1
A-YO	blow	Joanne	4
A-YO	body's	Joanne	6
A-YO	breathe	Joanne	6
A-YO	burns	Joanne	1
A-YO	cast	Joanne	1
A-YO	ceilin	Joanne	13
A-YO	city	Joanne	1
A-YO	covered	Joanne	1
A-YO	da	Joanne	2
A-YO	drippin	Joanne	1
A-YO	em	Joanne	13
A-YO	fake	Joanne	1
A-YO	faster	Joanne	2
A-YO	ferrari	Joanne	1
A-YO	gravel	Joanne	1
