song_name	word	album	n
(Love Is Like A) Heat Wave	ahead	Heat Wave	1
(Love Is Like A) Heat Wave	amazed	Heat Wave	1
(Love Is Like A) Heat Wave	blood	Heat Wave	1
(Love Is Like A) Heat Wave	burnin	Heat Wave	21
(Love Is Like A) Heat Wave	burning	Heat Wave	1
(Love Is Like A) Heat Wave	calls	Heat Wave	1
(Love Is Like A) Heat Wave	chance	Heat Wave	1
(Love Is Like A) Heat Wave	cryin	Heat Wave	2
(Love Is Like A) Heat Wave	desire	Heat Wave	1
(Love Is Like A) Heat Wave	devil	Heat Wave	1
(Love Is Like A) Heat Wave	explain	Heat Wave	1
(Love Is Like A) Heat Wave	feel	Heat Wave	2
(Love Is Like A) Heat Wave	feeling	Heat Wave	1
(Love Is Like A) Heat Wave	filled	Heat Wave	1
(Love Is Like A) Heat Wave	flame	Heat Wave	1
(Love Is Like A) Heat Wave	funny	Heat Wave	1
(Love Is Like A) Heat Wave	girl	Heat Wave	4
(Love Is Like A) Heat Wave	haze	Heat Wave	1
(Love Is Like A) Heat Wave	head's	Heat Wave	1
(Love Is Like A) Heat Wave	heart	Heat Wave	4
(Love Is Like A) Heat Wave	heat	Heat Wave	11
(Love Is Like A) Heat Wave	hold	Heat Wave	1
(Love Is Like A) Heat Wave	inside	Heat Wave	1
(Love Is Like A) Heat Wave	love	Heat Wave	1
(Love Is Like A) Heat Wave	love's	Heat Wave	2
(Love Is Like A) Heat Wave	low	Heat Wave	1
(Love Is Like A) Heat Wave	miss	Heat Wave	1
(Love Is Like A) Heat Wave	ooh	Heat Wave	10
(Love Is Like A) Heat Wave	pass	Heat Wave	1
(Love Is Like A) Heat Wave	plain	Heat Wave	1
(Love Is Like A) Heat Wave	pressure	Heat Wave	1
(Love Is Like A) Heat Wave	romance	Heat Wave	1
(Love Is Like A) Heat Wave	soft	Heat Wave	1
(Love Is Like A) Heat Wave	sounds	Heat Wave	1
(Love Is Like A) Heat Wave	space	Heat Wave	1
(Love Is Like A) Heat Wave	stare	Heat Wave	1
(Love Is Like A) Heat Wave	starts	Heat Wave	1
(Love Is Like A) Heat Wave	supposed	Heat Wave	2
(Love Is Like A) Heat Wave	sweet	Heat Wave	1
(Love Is Like A) Heat Wave	tearin	Heat Wave	2
(Love Is Like A) Heat Wave	tears	Heat Wave	1
(Love Is Like A) Heat Wave	true	Heat Wave	1
(Love Is Like A) Heat Wave	understand	Heat Wave	1
(Love Is Like A) Heat Wave	wave	Heat Wave	11
(Love Is Like A) Heat Wave	yeah	Heat Wave	15
(You Make Me Feel Like) A Natural Woman	alive	Tapestry	1
(You Make Me Feel Like) A Natural Woman	baby	Tapestry	1
(You Make Me Feel Like) A Natural Woman	claim	Tapestry	1
(You Make Me Feel Like) A Natural Woman	close	Tapestry	1
(You Make Me Feel Like) A Natural Woman	day	Tapestry	2
(You Make Me Feel Like) A Natural Woman	doubtful	Tapestry	1
(You Make Me Feel Like) A Natural Woman	feel	Tapestry	19
(You Make Me Feel Like) A Natural Woman	found	Tapestry	1
(You Make Me Feel Like) A Natural Woman	happy	Tapestry	1
(You Make Me Feel Like) A Natural Woman	helped	Tapestry	1
(You Make Me Feel Like) A Natural Woman	inside	Tapestry	2
(You Make Me Feel Like) A Natural Woman	key	Tapestry	1
(You Make Me Feel Like) A Natural Woman	kiss	Tapestry	1
(You Make Me Feel Like) A Natural Woman	life	Tapestry	1
(You Make Me Feel Like) A Natural Woman	living	Tapestry	1
(You Make Me Feel Like) A Natural Woman	lord	Tapestry	1
(You Make Me Feel Like) A Natural Woman	lost	Tapestry	1
(You Make Me Feel Like) A Natural Woman	love	Tapestry	1
(You Make Me Feel Like) A Natural Woman	met	Tapestry	1
(You Make Me Feel Like) A Natural Woman	mind	Tapestry	1
(You Make Me Feel Like) A Natural Woman	morning	Tapestry	1
(You Make Me Feel Like) A Natural Woman	natural	Tapestry	7
(You Make Me Feel Like) A Natural Woman	peace	Tapestry	1
(You Make Me Feel Like) A Natural Woman	rain	Tapestry	1
(You Make Me Feel Like) A Natural Woman	soul	Tapestry	1
(You Make Me Feel Like) A Natural Woman	til	Tapestry	1
(You Make Me Feel Like) A Natural Woman	tired	Tapestry	1
(You Make Me Feel Like) A Natural Woman	uninspired	Tapestry	1
(You Make Me Feel Like) A Natural Woman	unkind	Tapestry	1
(You Make Me Feel Like) A Natural Woman	wanna	Tapestry	2
(You Make Me Feel Like) A Natural Woman	woman	Tapestry	6
(You Make Me Feel Like) A Natural Woman	wrong	Tapestry	1
A Breath Taking Guy	actin	Where Did Our Love Go	1
A Breath Taking Guy	bat	Where Did Our Love Go	1
A Breath Taking Guy	believed	Where Did Our Love Go	1
A Breath Taking Guy	blue	Where Did Our Love Go	2
A Breath Taking Guy	breakin	Where Did Our Love Go	3
A Breath Taking Guy	breath	Where Did Our Love Go	4
A Breath Taking Guy	changed	Where Did Our Love Go	2
A Breath Taking Guy	cry	Where Did Our Love Go	1
A Breath Taking Guy	darlin	Where Did Our Love Go	1
A Breath Taking Guy	day	Where Did Our Love Go	4
A Breath Taking Guy	ear	Where Did Our Love Go	1
A Breath Taking Guy	eye	Where Did Our Love Go	2
A Breath Taking Guy	fun	Where Did Our Love Go	2
A Breath Taking Guy	guy	Where Did Our Love Go	3
A Breath Taking Guy	heard	Where Did Our Love Go	1
A Breath Taking Guy	heart	Where Did Our Love Go	3
A Breath Taking Guy	held	Where Did Our Love Go	1
A Breath Taking Guy	left	Where Did Our Love Go	1
A Breath Taking Guy	love	Where Did Our Love Go	4
A Breath Taking Guy	makin	Where Did Our Love Go	3
A Breath Taking Guy	moved	Where Did Our Love Go	1
A Breath Taking Guy	movin	Where Did Our Love Go	1
A Breath Taking Guy	night	Where Did Our Love Go	5
A Breath Taking Guy	oooh	Where Did Our Love Go	12
A Breath Taking Guy	passed	Where Did Our Love Go	1
A Breath Taking Guy	shakin	Where Did Our Love Go	4
A Breath Taking Guy	sight	Where Did Our Love Go	2
A Breath Taking Guy	soul	Where Did Our Love Go	4
A Breath Taking Guy	strange	Where Did Our Love Go	2
A Breath Taking Guy	sweet	Where Did Our Love Go	2
A Breath Taking Guy	takin	Where Did Our Love Go	4
A Breath Taking Guy	tight	Where Did Our Love Go	1
A Breath Taking Guy	true	Where Did Our Love Go	2
A Breath Taking Guy	unheard	Where Did Our Love Go	1
A Breath Taking Guy	whispered	Where Did Our Love Go	1
A Breath Taking Guy	word	Where Did Our Love Go	2
A Breath Taking Guy	words	Where Did Our Love Go	2
A Breath Taking Guy	yeah	Where Did Our Love Go	4
Ain’t That Nice	boy	Chapel of Love	1
Ain’t That Nice	burn	Chapel of Love	2
Ain’t That Nice	calling	Chapel of Love	1
Ain’t That Nice	fire	Chapel of Love	2
Ain’t That Nice	hear	Chapel of Love	1
Ain’t That Nice	hey	Chapel of Love	1
Ain’t That Nice	inside	Chapel of Love	2
Ain’t That Nice	kissed	Chapel of Love	10
Ain’t That Nice	kisses	Chapel of Love	2
Ain’t That Nice	knowing	Chapel of Love	1
Ain’t That Nice	life	Chapel of Love	2
Ain’t That Nice	love	Chapel of Love	6
Ain’t That Nice	lover	Chapel of Love	1
Ain’t That Nice	nice	Chapel of Love	5
Ain’t That Nice	rest	Chapel of Love	2
Ain’t That Nice	return	Chapel of Love	2
Ain’t That Nice	telling	Chapel of Love	2
Ain’t That Nice	treat	Chapel of Love	2
Ain’t That Nice	true	Chapel of Love	1
Ain’t That Nice	yeah	Chapel of Love	15
All Grown Up	alright	Chapel of Love	1
All Grown Up	baby	Chapel of Love	1
All Grown Up	boyfriend	Chapel of Love	1
All Grown Up	downtown	Chapel of Love	2
All Grown Up	fall	Chapel of Love	1
All Grown Up	friends	Chapel of Love	1
All Grown Up	gonna	Chapel of Love	3
All Grown Up	goodnight	Chapel of Love	1
All Grown Up	grown	Chapel of Love	11
All Grown Up	hair	Chapel of Love	2
All Grown Up	heels	Chapel of Love	2
All Grown Up	kiss	Chapel of Love	1
All Grown Up	late	Chapel of Love	1
All Grown Up	love	Chapel of Love	1
All Grown Up	marry	Chapel of Love	1
All Grown Up	night	Chapel of Love	1
All Grown Up	party	Chapel of Love	1
All Grown Up	reason	Chapel of Love	3
All Grown Up	shimmy	Chapel of Love	1
All Grown Up	stay	Chapel of Love	1
All Grown Up	till	Chapel of Love	1
All Grown Up	wanta	Chapel of Love	1
All Grown Up	wear	Chapel of Love	2
All Grown Up	ya	Chapel of Love	4
Another Boy Like Mine	baby	Chapel of Love	1
Another Boy Like Mine	boy	Chapel of Love	13
Another Boy Like Mine	calling	Chapel of Love	1
Another Boy Like Mine	catch	Chapel of Love	1
Another Boy Like Mine	chills	Chapel of Love	1
Another Boy Like Mine	close	Chapel of Love	1
Another Boy Like Mine	fine	Chapel of Love	2
Another Boy Like Mine	forever	Chapel of Love	2
Another Boy Like Mine	handing	Chapel of Love	1
Another Boy Like Mine	hold	Chapel of Love	1
Another Boy Like Mine	kiss	Chapel of Love	1
Another Boy Like Mine	line	Chapel of Love	1
Another Boy Like Mine	love	Chapel of Love	4
Another Boy Like Mine	means	Chapel of Love	1
Another Boy Like Mine	mine	Chapel of Love	11
Another Boy Like Mine	search	Chapel of Love	2
Another Boy Like Mine	sends	Chapel of Love	1
Another Boy Like Mine	spine	Chapel of Love	1
Another Boy Like Mine	tenderly	Chapel of Love	1
Another Boy Like Mine	till	Chapel of Love	1
Another Boy Like Mine	time	Chapel of Love	2
Another Boy Like Mine	true	Chapel of Love	1
Another Boy Like Mine	understanding	Chapel of Love	1
Another Boy Like Mine	whispers	Chapel of Love	1
Another Boy Like Mine	word	Chapel of Love	1
Ask Any Girl	affection	Where Did Our Love Go	1
Ask Any Girl	cry	Where Did Our Love Go	5
Ask Any Girl	dear	Where Did Our Love Go	1
Ask Any Girl	deep	Where Did Our Love Go	1
Ask Any Girl	doll	Where Did Our Love Go	1
Ask Any Girl	fear	Where Did Our Love Go	1
Ask Any Girl	feel	Where Did Our Love Go	2
Ask Any Girl	feeling	Where Did Our Love Go	1
Ask Any Girl	girl	Where Did Our Love Go	6
Ask Any Girl	hard	Where Did Our Love Go	2
