song_name	word	album	n
A Perfect Life	aching	I Don t Want The Goldfire Sessions	1
A Perfect Life	ain’t	I Don t Want The Goldfire Sessions	1
A Perfect Life	applause	I Don t Want The Goldfire Sessions	1
A Perfect Life	army	I Don t Want The Goldfire Sessions	1
A Perfect Life	blooming	I Don t Want The Goldfire Sessions	1
A Perfect Life	bug	I Don t Want The Goldfire Sessions	1
A Perfect Life	buzz	I Don t Want The Goldfire Sessions	1
A Perfect Life	can’t	I Don t Want The Goldfire Sessions	4
A Perfect Life	caught	I Don t Want The Goldfire Sessions	1
A Perfect Life	chase	I Don t Want The Goldfire Sessions	2
A Perfect Life	close	I Don t Want The Goldfire Sessions	4
A Perfect Life	command	I Don t Want The Goldfire Sessions	1
A Perfect Life	cover	I Don t Want The Goldfire Sessions	1
A Perfect Life	create	I Don t Want The Goldfire Sessions	1
A Perfect Life	day	I Don t Want The Goldfire Sessions	2
A Perfect Life	debutante	I Don t Want The Goldfire Sessions	1
A Perfect Life	disguise	I Don t Want The Goldfire Sessions	2
A Perfect Life	doey	I Don t Want The Goldfire Sessions	2
A Perfect Life	don’t	I Don t Want The Goldfire Sessions	3
A Perfect Life	dreaming	I Don t Want The Goldfire Sessions	2
A Perfect Life	em	I Don t Want The Goldfire Sessions	1
A Perfect Life	entertain	I Don t Want The Goldfire Sessions	1
A Perfect Life	eyed	I Don t Want The Goldfire Sessions	2
A Perfect Life	eyes	I Don t Want The Goldfire Sessions	4
A Perfect Life	fall	I Don t Want The Goldfire Sessions	1
A Perfect Life	flaunt	I Don t Want The Goldfire Sessions	1
A Perfect Life	flawless	I Don t Want The Goldfire Sessions	1
A Perfect Life	fuss	I Don t Want The Goldfire Sessions	1
A Perfect Life	glove	I Don t Want The Goldfire Sessions	1
A Perfect Life	guarded	I Don t Want The Goldfire Sessions	1
A Perfect Life	hot	I Don t Want The Goldfire Sessions	1
A Perfect Life	i’ll	I Don t Want The Goldfire Sessions	2
A Perfect Life	i’m	I Don t Want The Goldfire Sessions	5
A Perfect Life	i’ve	I Don t Want The Goldfire Sessions	1
A Perfect Life	it’s	I Don t Want The Goldfire Sessions	2
A Perfect Life	life	I Don t Want The Goldfire Sessions	4
A Perfect Life	love	I Don t Want The Goldfire Sessions	3
A Perfect Life	move	I Don t Want The Goldfire Sessions	1
A Perfect Life	nearer	I Don t Want The Goldfire Sessions	2
A Perfect Life	nuance	I Don t Want The Goldfire Sessions	1
A Perfect Life	oo	I Don t Want The Goldfire Sessions	4
