song_name	word	album	n
After the Glitter Fades	alright	Bella Donna	3
After the Glitter Fades	breaks	Bella Donna	1
After the Glitter Fades	chase	Bella Donna	1
After the Glitter Fades	coming	Bella Donna	1
After the Glitter Fades	days	Bella Donna	1
After the Glitter Fades	dream	Bella Donna	2
After the Glitter Fades	fades	Bella Donna	5
After the Glitter Fades	feel	Bella Donna	1
After the Glitter Fades	feeling	Bella Donna	5
After the Glitter Fades	fine	Bella Donna	3
After the Glitter Fades	forget	Bella Donna	1
After the Glitter Fades	glitter	Bella Donna	5
After the Glitter Fades	gold	Bella Donna	1
After the Glitter Fades	hard	Bella Donna	1
After the Glitter Fades	heart	Bella Donna	1
After the Glitter Fades	hollywood	Bella Donna	1
After the Glitter Fades	laced	Bella Donna	3
After the Glitter Fades	lies	Bella Donna	3
After the Glitter Fades	life	Bella Donna	3
After the Glitter Fades	living	Bella Donna	3
After the Glitter Fades	loneliness	Bella Donna	1
After the Glitter Fades	love	Bella Donna	3
After the Glitter Fades	night	Bella Donna	1
After the Glitter Fades	remain	Bella Donna	1
After the Glitter Fades	remains	Bella Donna	4
After the Glitter Fades	rock	Bella Donna	1
After the Glitter Fades	roll	Bella Donna	1
After the Glitter Fades	stand	Bella Donna	1
After the Glitter Fades	star	Bella Donna	3
After the Glitter Fades	stay	Bella Donna	1
After the Glitter Fades	timeless	Bella Donna	1
After the Glitter Fades	touch	Bella Donna	1
After the Glitter Fades	woman	Bella Donna	1
Beauty and the Beast	ahhh	The Wild Heart	1
Beauty and the Beast	beast	The Wild Heart	5
Beauty and the Beast	beautiful	The Wild Heart	4
Beauty and the Beast	beauty	The Wild Heart	8
Beauty and the Beast	bete	The Wild Heart	2
Beauty and the Beast	blind	The Wild Heart	1
Beauty and the Beast	changed	The Wild Heart	3
Beauty and the Beast	child	The Wild Heart	1
Beauty and the Beast	children	The Wild Heart	1
Beauty and the Beast	creature	The Wild Heart	1
Beauty and the Beast	darling	The Wild Heart	1
Beauty and the Beast	die	The Wild Heart	1
Beauty and the Beast	disguise	The Wild Heart	1
Beauty and the Beast	doubted	The Wild Heart	2
Beauty and the Beast	fall	The Wild Heart	1
Beauty and the Beast	false	The Wild Heart	1
Beauty and the Beast	grieving	The Wild Heart	1
Beauty and the Beast	la	The Wild Heart	2
Beauty and the Beast	leave	The Wild Heart	2
Beauty and the Beast	lives	The Wild Heart	2
Beauty and the Beast	lot	The Wild Heart	1
Beauty and the Beast	love	The Wild Heart	6
Beauty and the Beast	mine	The Wild Heart	1
Beauty and the Beast	misunderstood	The Wild Heart	1
Beauty and the Beast	pain	The Wild Heart	1
Beauty and the Beast	pleasure	The Wild Heart	1
Beauty and the Beast	prisoner	The Wild Heart	1
Beauty and the Beast	shadow	The Wild Heart	1
Beauty and the Beast	stranger	The Wild Heart	1
Beauty and the Beast	tamed	The Wild Heart	1
Beauty and the Beast	time	The Wild Heart	1
Beauty and the Beast	timeless	The Wild Heart	2
Beauty and the Beast	unaware	The Wild Heart	1
Beauty and the Beast	wise	The Wild Heart	1
Beauty and the Beast	world	The Wild Heart	2
Beauty and the Beast	worlds	The Wild Heart	1
Bella Donna	atop	Bella Donna	1
Bella Donna	awestruck	Bella Donna	1
Bella Donna	baby	Bella Donna	1
Bella Donna	bella	Bella Donna	6
Bella Donna	captures	Bella Donna	1
Bella Donna	care	Bella Donna	1
Bella Donna	change	Bella Donna	2
Bella Donna	darkness	Bella Donna	3
Bella Donna	disappears	Bella Donna	1
Bella Donna	donna	Bella Donna	6
Bella Donna	fall	Bella Donna	1
Bella Donna	fast	Bella Donna	1
Bella Donna	feeling	Bella Donna	4
Bella Donna	fight	Bella Donna	2
Bella Donna	fly	Bella Donna	1
Bella Donna	lady's	Bella Donna	2
Bella Donna	lane	Bella Donna	1
Bella Donna	limit	Bella Donna	1
Bella Donna	love	Bella Donna	2
Bella Donna	loved	Bella Donna	2
Bella Donna	moon	Bella Donna	2
Bella Donna	northern	Bella Donna	2
Bella Donna	people	Bella Donna	1
Bella Donna	phoney	Bella Donna	1
Bella Donna	pony	Bella Donna	1
Bella Donna	ready	Bella Donna	2
Bella Donna	ride	Bella Donna	1
Bella Donna	sail	Bella Donna	2
Bella Donna	scare	Bella Donna	1
Bella Donna	scaring	Bella Donna	1
Bella Donna	sort	Bella Donna	1
Bella Donna	soul	Bella Donna	2
Bella Donna	speed	Bella Donna	1
Bella Donna	star	Bella Donna	2
Bella Donna	stars	Bella Donna	1
Bella Donna	swingin	Bella Donna	1
Bella Donna	thin	Bella Donna	1
Bella Donna	thing's	Bella Donna	1
Bella Donna	tired	Bella Donna	1
Bella Donna	trapeze	Bella Donna	1
Bella Donna	wind	Bella Donna	1
Bella Donna	woman	Bella Donna	4
Blue Letter	baby	Fleetwood Mac	3
Blue Letter	blue	Fleetwood Mac	1
Blue Letter	day	Fleetwood Mac	3
Blue Letter	eyes	Fleetwood Mac	3
Blue Letter	heard	Fleetwood Mac	2
Blue Letter	letter	Fleetwood Mac	1
Blue Letter	love	Fleetwood Mac	3
Blue Letter	lover	Fleetwood Mac	1
Blue Letter	message	Fleetwood Mac	3
Blue Letter	night	Fleetwood Mac	3
