song_name	word	album	n
...Ready for It?	act	reputation	1
...Ready for It?	baby	reputation	8
...Ready for It?	begin	reputation	12
...Ready for It?	boys	reputation	1
...Ready for It?	breeze	reputation	3
...Ready for It?	burton	reputation	1
...Ready for It?	comparison	reputation	1
...Ready for It?	dreams	reputation	8
...Ready for It?	eh	reputation	1
...Ready for It?	exes	reputation	1
...Ready for It?	failure	reputation	1
...Ready for It?	forever	reputation	1
...Ready for It?	forget	reputation	1
...Ready for It?	games	reputation	12
...Ready for It?	ghost	reputation	1
...Ready for It?	girls	reputation	1
...Ready for It?	gon	reputation	3
...Ready for It?	gonna	reputation	4
...Ready for It?	hard	reputation	1
...Ready for It?	haunted	reputation	1
...Ready for It?	hearts	reputation	1
...Ready for It?	heist	reputation	1
...Ready for It?	hmm	reputation	1
...Ready for It?	holdin	reputation	1
...Ready for It?	island	reputation	4
...Ready for It?	jailer	reputation	1
...Ready for It?	join	reputation	1
...Ready for It?	killer	reputation	1
...Ready for It?	left	reputation	1
...Ready for It?	lights	reputation	3
...Ready for It?	love	reputation	1
...Ready for It?	loved	reputation	1
...Ready for It?	low	reputation	3
...Ready for It?	middle	reputation	7
...Ready for It?	move	reputation	1
...Ready for It?	names	reputation	1
...Ready for It?	night	reputation	8
...Ready for It?	phantom	reputation	1
...Ready for It?	ransom	reputation	1
...Ready for It?	ready	reputation	5
...Ready for It?	robber	reputation	1
...Ready for It?	running	reputation	1
...Ready for It?	sayin	reputation	1
...Ready for It?	stealing	reputation	1
...Ready for It?	ta	reputation	1
...Ready for It?	tame	reputation	1
...Ready for It?	taylor	reputation	1
...Ready for It?	thief	reputation	1
...Ready for It?	time	reputation	5
...Ready for It?	touch	reputation	3
...Ready for It?	tryin	reputation	1
...Ready for It?	vendetta	reputation	1
...Ready for It?	wondered	reputation	1
22	alright	Red	7
22	bad	Red	2
22	bet	Red	3
22	breakfast	Red	1
22	confused	Red	2
22	cool	Red	1
22	crowded	Red	1
22	dancing	Red	5
22	deadlines	Red	1
22	ditch	Red	3
22	dreamin	Red	1
22	dress	Red	1
22	eh	Red	1
22	ew	Red	1
22	exes	Red	1
22	fall	Red	1
22	feeling	Red	3
22	feels	Red	8
22	forget	Red	2
22	free	Red	2
22	fun	Red	1
22	gotta	Red	4
22	happy	Red	2
22	heartbreaks	Red	1
22	hey	Red	2
22	hipsters	Red	1
22	kids	Red	1
22	lonely	Red	2
22	love	Red	1
22	magical	Red	2
22	midnight	Red	1
22	miserable	Red	2
22	news	Red	2
22	night	Red	4
22	nights	Red	8
22	ooh	Red	4
22	perfect	Red	2
22	scene	Red	3
22	sleepin	Red	1
22	sleeping	Red	2
22	strangers	Red	1
22	swift	Red	1
22	taylor	Red	1
22	time	Red	3
22	tonight's	Red	2
22	twenty	Red	17
22	uh	Red	12
22	woah	Red	2
22	yeah	Red	11
Afterglow	afterglow	Lover	3
Afterglow	attack	Lover	1
Afterglow	blame	Lover	1
Afterglow	blew	Lover	1
Afterglow	blows	Lover	1
Afterglow	blue	Lover	1
Afterglow	boxing	Lover	1
Afterglow	break	Lover	3
Afterglow	burned	Lover	3
Afterglow	chemistry	Lover	1
Afterglow	crying	Lover	1
Afterglow	didn’t	Lover	1
Afterglow	don’t	Lover	2
Afterglow	excruciating	Lover	1
Afterglow	fault	Lover	1
Afterglow	fight	Lover	1
Afterglow	fighting	Lover	1
Afterglow	fine	Lover	1
Afterglow	gloves	Lover	1
Afterglow	hands	Lover	1
Afterglow	head	Lover	3
Afterglow	heart	Lover	1
Afterglow	hey	Lover	6
Afterglow	hurt	Lover	3
Afterglow	island	Lover	1
Afterglow	it’s	Lover	2
Afterglow	jail	Lover	1
Afterglow	lift	Lover	1
Afterglow	light	Lover	1
Afterglow	lived	Lover	1
Afterglow	lose	Lover	7
Afterglow	love	Lover	4
Afterglow	low	Lover	1
Afterglow	meant	Lover	3
Afterglow	meet	Lover	3
Afterglow	mind	Lover	1
Afterglow	mine	Lover	1
Afterglow	morning	Lover	1
Afterglow	ooh	Lover	6
Afterglow	pinned	Lover	1
Afterglow	proportion	Lover	1
Afterglow	punished	Lover	1
Afterglow	reason	Lover	1
Afterglow	silence	Lover	1
Afterglow	sirens	Lover	1
Afterglow	tells	Lover	1
Afterglow	there’s	Lover	1
Afterglow	til	Lover	2
Afterglow	true	Lover	1
Afterglow	ultraviolet	Lover	1
Afterglow	walk	Lover	1
Afterglow	wanna	Lover	13
Afterglow	why'd	Lover	2
Afterglow	worth	Lover	1
All Too Well	air	Red	1
All Too Well	album	Red	1
All Too Well	autumn	Red	1
All Too Well	ball	Red	1
All Too Well	bed	Red	1
All Too Well	bout	Red	3
All Too Well	break	Red	1
All Too Well	call	Red	1
All Too Well	car	Red	1
All Too Well	casually	Red	1
All Too Well	cheeks	Red	1
All Too Well	cold	Red	1
All Too Well	counter	Red	1
All Too Well	cruel	Red	1
All Too Well	crumpled	Red	1
All Too Well	dancing	Red	1
All Too Well	days	Red	2
All Too Well	disposition	Red	1
All Too Well	door	Red	1
All Too Well	drawer	Red	1
All Too Well	eyed	Red	1
All Too Well	falling	Red	1
All Too Well	fine	Red	1
All Too Well	fly	Red	1
All Too Well	forget	Red	2
All Too Well	future	Red	1
All Too Well	gaze	Red	1
All Too Well	glasses	Red	1
All Too Well	hair	Red	2
All Too Well	home	Red	2
All Too Well	honest	Red	1
All Too Well	house	Red	1
All Too Well	innocence	Red	1
All Too Well	kid	Red	1
All Too Well	kitchen	Red	1
All Too Well	leaves	Red	1
All Too Well	left	Red	1
All Too Well	light	Red	1
All Too Well	lookin	Red	1
All Too Well	lost	Red	3
All Too Well	loved	Red	1
All Too Well	lying	Red	1
All Too Well	magic's	Red	1
All Too Well	mail	Red	1
All Too Well	masterpiece	Red	1
All Too Well	middle	Red	1
All Too Well	mother's	Red	1
All Too Well	night	Red	1
All Too Well	nights	Red	1
All Too Well	paper	Red	1
All Too Well	paralyzed	Red	1
All Too Well	past	Red	1
All Too Well	photo	Red	1
All Too Well	picture	Red	1
All Too Well	piece	Red	1
All Too Well	pieces	Red	1
All Too Well	plaid	Red	1
All Too Well	promise	Red	1
All Too Well	ran	Red	1
All Too Well	rare	Red	2
All Too Well	real	Red	1
All Too Well	red	Red	2
All Too Well	refrigerator	Red	1
All Too Well	remember	Red	9
All Too Well	reminds	Red	1
All Too Well	rid	Red	1
All Too Well	round	Red	1
All Too Well	running	Red	1
All Too Well	scared	Red	1
All Too Well	scarf	Red	2
All Too Well	shirt	Red	1
All Too Well	singing	Red	1
All Too Well	sister's	Red	1
All Too Well	sized	Red	1
All Too Well	smells	Red	1
All Too Well	stairs	Red	2
All Too Well	stories	Red	1
All Too Well	street	Red	1
All Too Well	sweet	Red	1
All Too Well	taught	Red	1
All Too Well	team	Red	1
All Too Well	tee	Red	1
All Too Well	telling	Red	1
All Too Well	thinking	Red	1
All Too Well	til	Red	1
All Too Well	time	Red	1
All Too Well	tore	Red	1
All Too Well	town	Red	1
All Too Well	translation	Red	1
All Too Well	twin	Red	1
All Too Well	upstate	Red	1
All Too Well	walk	Red	1
All Too Well	walked	Red	1
All Too Well	week	Red	1
All Too Well	wide	Red	1
All Too Well	wind	Red	2
All Too Well	yeah	Red	2
Anti-Hero	afternoons	Midnights	1
Anti-Hero	agrees	Midnights	6
Anti-Hero	altruism	Midnights	1
Anti-Hero	anti	Midnights	3
Anti-Hero	baby	Midnights	1
Anti-Hero	city	Midnights	1
Anti-Hero	congressman	Midnights	1
Anti-Hero	covert	Midnights	1
Anti-Hero	crisis	Midnights	1
Anti-Hero	daughter	Midnights	1
Anti-Hero	day	Midnights	2
Anti-Hero	depression	Midnights	1
Anti-Hero	devices	Midnights	1
Anti-Hero	directly	Midnights	3
Anti-Hero	disguise	Midnights	1
Anti-Hero	dream	Midnights	1
Anti-Hero	dreaming	Midnights	2
Anti-Hero	exhausting	Midnights	3
Anti-Hero	family	Midnights	1
Anti-Hero	favorite	Midnights	1
Anti-Hero	feel	Midnights	1
Anti-Hero	gathers	Midnights	1
Anti-Hero	ghosted	Midnights	1
Anti-Hero	graveyard	Midnights	1
Anti-Hero	hang	Midnights	1
Anti-Hero	hear	Midnights	1
Anti-Hero	heart	Midnights	1
Anti-Hero	hell	Midnights	1
Anti-Hero	hero	Midnights	3
Anti-Hero	hill	Midnights	1
Anti-Hero	killed	Midnights	1
Anti-Hero	kills	Midnights	1
Anti-Hero	laughing	Midnights	1
Anti-Hero	law	Midnights	1
Anti-Hero	leaving	Midnights	2
